문제,정답,오답1,오답2,오답3,힌트,묶음
17 ÷ 5의 몫,3,,,,5×3=15. 한 번 더 하면 17보다 커져,몫
17 ÷ 5의 나머지,2,,,,5 × 3 = 15. 17에서 그걸 빼면?,나머지
23 ÷ 4의 몫,5,,,,4×5=20. 한 번 더 하면 23보다 커져,몫
23 ÷ 4의 나머지,3,,,,4 × 5 = 20. 23에서 그걸 빼면?,나머지
30 ÷ 7의 몫,4,,,,7×4=28. 한 번 더 하면 30보다 커져,몫
30 ÷ 7의 나머지,2,,,,7 × 4 = 28. 30에서 그걸 빼면?,나머지
19 ÷ 6의 몫,3,,,,6×3=18. 한 번 더 하면 19보다 커져,몫
19 ÷ 6의 나머지,1,,,,6 × 3 = 18. 19에서 그걸 빼면?,나머지
25 ÷ 3의 몫,8,,,,3×8=24. 한 번 더 하면 25보다 커져,몫
25 ÷ 3의 나머지,1,,,,3 × 8 = 24. 25에서 그걸 빼면?,나머지
38 ÷ 8의 몫,4,,,,8×4=32. 한 번 더 하면 38보다 커져,몫
38 ÷ 8의 나머지,6,,,,8 × 4 = 32. 38에서 그걸 빼면?,나머지
41 ÷ 9의 몫,4,,,,9×4=36. 한 번 더 하면 41보다 커져,몫
41 ÷ 9의 나머지,5,,,,9 × 4 = 36. 41에서 그걸 빼면?,나머지
29 ÷ 6의 몫,4,,,,6×4=24. 한 번 더 하면 29보다 커져,몫
29 ÷ 6의 나머지,5,,,,6 × 4 = 24. 29에서 그걸 빼면?,나머지
34 ÷ 5의 몫,6,,,,5×6=30. 한 번 더 하면 34보다 커져,몫
34 ÷ 5의 나머지,4,,,,5 × 6 = 30. 34에서 그걸 빼면?,나머지
47 ÷ 7의 몫,6,,,,7×6=42. 한 번 더 하면 47보다 커져,몫
47 ÷ 7의 나머지,5,,,,7 × 6 = 42. 47에서 그걸 빼면?,나머지
52 ÷ 8의 몫,6,,,,8×6=48. 한 번 더 하면 52보다 커져,몫
52 ÷ 8의 나머지,4,,,,8 × 6 = 48. 52에서 그걸 빼면?,나머지
45 ÷ 6의 몫,7,,,,6×7=42. 한 번 더 하면 45보다 커져,몫
45 ÷ 6의 나머지,3,,,,6 × 7 = 42. 45에서 그걸 빼면?,나머지
61 ÷ 9의 몫,6,,,,9×6=54. 한 번 더 하면 61보다 커져,몫
61 ÷ 9의 나머지,7,,,,9 × 6 = 54. 61에서 그걸 빼면?,나머지
37 ÷ 4의 몫,9,,,,4×9=36. 한 번 더 하면 37보다 커져,몫
37 ÷ 4의 나머지,1,,,,4 × 9 = 36. 37에서 그걸 빼면?,나머지
58 ÷ 7의 몫,8,,,,7×8=56. 한 번 더 하면 58보다 커져,몫
58 ÷ 7의 나머지,2,,,,7 × 8 = 56. 58에서 그걸 빼면?,나머지
