문제,정답,오답1,오답2,오답3,힌트,묶음
2/3은(는) 어떤 분수일까?,진분수,가분수,대분수,자연수,위가 아래보다 작아,분수의 종류
1/5은(는) 어떤 분수일까?,진분수,가분수,대분수,자연수,위가 아래보다 작아,분수의 종류
4/7은(는) 어떤 분수일까?,진분수,가분수,대분수,자연수,위가 아래보다 작아,분수의 종류
3/8은(는) 어떤 분수일까?,진분수,가분수,대분수,자연수,위가 아래보다 작아,분수의 종류
5/6은(는) 어떤 분수일까?,진분수,가분수,대분수,자연수,위가 아래보다 작아,분수의 종류
7/9은(는) 어떤 분수일까?,진분수,가분수,대분수,자연수,위가 아래보다 작아,분수의 종류
5/3은(는) 어떤 분수일까?,가분수,진분수,대분수,자연수,위가 아래와 같거나 커,분수의 종류
7/4은(는) 어떤 분수일까?,가분수,진분수,대분수,자연수,위가 아래와 같거나 커,분수의 종류
9/5은(는) 어떤 분수일까?,가분수,진분수,대분수,자연수,위가 아래와 같거나 커,분수의 종류
8/8은(는) 어떤 분수일까?,가분수,진분수,대분수,자연수,위가 아래와 같거나 커,분수의 종류
11/6은(는) 어떤 분수일까?,가분수,진분수,대분수,자연수,위가 아래와 같거나 커,분수의 종류
6/5은(는) 어떤 분수일까?,가분수,진분수,대분수,자연수,위가 아래와 같거나 커,분수의 종류
1과 2/3은(는) 어떤 분수일까?,대분수,진분수,가분수,소수,자연수와 분수가 붙어 있어,분수의 종류
2와 1/4은(는) 어떤 분수일까?,대분수,진분수,가분수,소수,자연수와 분수가 붙어 있어,분수의 종류
3과 3/5은(는) 어떤 분수일까?,대분수,진분수,가분수,소수,자연수와 분수가 붙어 있어,분수의 종류
1과 5/6은(는) 어떤 분수일까?,대분수,진분수,가분수,소수,자연수와 분수가 붙어 있어,분수의 종류
7/3을(를) 대분수로 바꾸면?,2과 1/3,,,,3가 2번 들어가고 1이 남아,가분수를 대분수로
9/4을(를) 대분수로 바꾸면?,2과 1/4,,,,4가 2번 들어가고 1이 남아,가분수를 대분수로
11/5을(를) 대분수로 바꾸면?,2과 1/5,,,,5가 2번 들어가고 1이 남아,가분수를 대분수로
13/6을(를) 대분수로 바꾸면?,2과 1/6,,,,6가 2번 들어가고 1이 남아,가분수를 대분수로
8/3을(를) 대분수로 바꾸면?,2과 2/3,,,,3가 2번 들어가고 2이 남아,가분수를 대분수로
10/4을(를) 대분수로 바꾸면?,2과 2/4,,,,4가 2번 들어가고 2이 남아,가분수를 대분수로
1과 1/2을(를) 가분수로 바꾸면?,3/2,,,,2가 1번이면 2/2. 거기에 1/2을 더해,대분수를 가분수로
2과 2/3을(를) 가분수로 바꾸면?,8/3,,,,3가 2번이면 6/3. 거기에 2/3을 더해,대분수를 가분수로
1과 3/4을(를) 가분수로 바꾸면?,7/4,,,,4가 1번이면 4/4. 거기에 3/4을 더해,대분수를 가분수로
3과 1/5을(를) 가분수로 바꾸면?,16/5,,,,5가 3번이면 15/5. 거기에 1/5을 더해,대분수를 가분수로
