문제,정답,오답1,오답2,오답3,힌트,묶음
돌을 깨뜨려 만든 도구를 뭐라고 할까?,뗀석기,,,,깨뜨려서 만든 거야,도구
돌을 갈아서 반들반들하게 만든 도구는?,간석기,,,,갈아서 만든 거야,도구
사냥도 하고 자르기도 한 구석기의 대표 도구는?,주먹도끼,,,,손에 쥐고 쓰는 거야,도구
창끝에 매달아 사냥할 때 쓴 뾰족한 돌은?,슴베찌르개,,,,창에 꽂아 쓰는 거야,도구
곡식을 갈아 가루로 만들 때 쓴 도구는?,갈판과 갈돌,,,,위아래로 문질러 갈아,도구
실을 뽑을 때 쓴 신석기 도구는?,가락바퀴,,,,빙빙 돌려서 실을 꼬아,도구
구석기 사람들이 추위를 피해 살던 곳은?,동굴,,,,바위 속 빈 곳이야,살던 곳
나뭇가지로 잠깐 머물려고 지은 구석기 집은?,막집,,,,옮겨 다니니까 대충 지어,살던 곳
땅을 파고 기둥을 세워 지은 신석기 집은?,움집,,,,땅을 파서 만든 집이야,살던 곳
조개를 먹고 껍데기를 버려 쌓인 곳은?,조개무지,,,,껍데기가 산처럼 쌓였어,살던 곳
겉에 빗살 무늬를 새긴 신석기 그릇은?,빗살무늬토기,,,,빗으로 그은 것 같은 무늬야,유물
옷이나 가죽을 꿰맬 때 쓴 신석기 물건은?,뼈바늘,,,,뼈를 깎아 만들었어,유물
신석기 사람들이 얼굴 모양으로 만든 조개 유물은?,조개껍데기 가면,,,,얼굴에 쓰는 거야,유물
물고기를 잡을 때 쓴 신석기 도구는?,낚싯바늘,,,,물고기를 걸어 올려,유물
농사를 처음 짓기 시작한 시대는?,신석기,구석기,청동기,철기,한곳에 머물러야 농사를 지어,시대
사냥과 열매 따기로만 먹을 것을 얻던 시대는?,구석기,신석기,청동기,삼국 시대,농사를 아직 몰랐어,시대
마을을 이루고 한곳에 머물러 살기 시작한 시대는?,신석기,구석기,청동기,고려,농사를 지으면 옮겨 다닐 수 없어,시대
먹을 것을 찾아 옮겨 다니며 살던 시대는?,구석기,신석기,청동기,조선,막집에서 살았어,시대
개와 돼지를 기르기 시작한 시대는?,신석기,구석기,청동기,철기,농사와 같이 시작됐어,시대
불을 쓰기 시작한 시대는?,구석기,신석기,청동기,삼국 시대,아주 아주 옛날이야,시대
