문제,정답,오답1,오답2,오답3,힌트,묶음
고구려를 세운 사람은?,주몽,,,,알에서 태어났다고 해,나라를 세운 사람
백제를 세운 사람은?,온조,,,,주몽의 아들이야,나라를 세운 사람
신라를 세운 사람은?,박혁거세,,,,박처럼 생긴 알에서 나왔대,나라를 세운 사람
금관가야를 세운 사람은?,김수로,,,,여섯 알 이야기에 나와,나라를 세운 사람
활을 아주 잘 쏘아서 붙은 이름이 뜻인 사람은?,주몽,,,,이름 자체가 활 잘 쏘는 사람이야,나라를 세운 사람
남쪽으로 내려와 한강가에 나라를 세운 사람은?,온조,,,,형과 헤어져 내려왔어,나라를 세운 사람
한강 근처에서 시작한 나라는?,백제,,,,온조가 세웠어,나라
압록강 근처 졸본에서 시작한 나라는?,고구려,,,,주몽이 세웠어,나라
경주를 중심으로 자라난 나라는?,신라,,,,박혁거세가 세웠어,나라
낙동강 근처에서 철을 많이 만든 나라는?,가야,,,,철을 이웃 나라에 팔았어,나라
백제의 첫 도읍은?,위례성,,,,한강 근처야,도읍
고구려의 첫 도읍은?,졸본,,,,산으로 둘러싸인 곳이야,도읍
신라의 도읍은?,금성,,,,지금의 경주야,도읍
박혁거세의 알이 있었다고 전해지는 우물은?,나정,,,,경주에 있는 우물이야,도읍
가야가 이웃 나라에 많이 팔았던 것은?,철,비단,소금,종이,단단한 금속이야,가야
삼국에 들지 않고 여러 작은 나라로 남았던 곳은?,가야,고구려,백제,신라,하나로 합쳐지지 못했어,가야
삼국이 나라의 힘을 키우려고 받아들인 종교는?,불교,유교,기독교,천주교,절과 탑을 지었어,삼국의 살림
임금이 나라를 다스리는 규칙으로 만든 법은?,율령,한글,팔조법,헌법,나라의 법이야,삼국의 살림
삼국이 세력을 다투며 서로 차지하려 한 큰 강은?,한강,낙동강,압록강,대동강,넓은 들과 바닷길이 있어,삼국의 살림
삼국 시대에 무덤 안 벽에 그린 그림을 뭐라고 할까?,벽화,청자,탱화,민화,무덤 벽에 그렸어,삼국의 살림
