문제,정답,오답1,오답2,오답3,힌트,묶음
삼국 통일에 큰 공을 세운 신라의 장군은?,김유신,,,,가야 왕족의 후손이야,인물
당나라와 손을 잡아 통일의 길을 연 신라 왕은?,김춘추,,,,태종무열왕이라고도 불러,인물
당나라를 몰아내고 삼국 통일을 마무리한 왕은?,문무왕,,,,죽어서 바다의 용이 되겠다고 했어,인물
고구려 사람들을 모아 발해를 세운 사람은?,대조영,,,,고구려를 잇겠다고 했어,인물
바다를 지키며 무역을 크게 한 신라 사람은?,장보고,,,,청해진을 세웠어,인물
어려운 불교를 백성도 알기 쉽게 풀어준 스님은?,원효,,,,누구나 부처가 될 수 있다고 했어,인물
신라가 당나라를 물리치고 이룬 일은?,삼국 통일,남북국,고려 건국,조선 건국,셋이 하나가 됐어,통일
통일 신라와 발해가 함께 있던 때를 뭐라고 부를까?,남북국 시대,삼국 시대,고려 시대,조선 시대,남쪽과 북쪽에 나라가 있었어,통일
발해가 스스로 이어받았다고 말한 나라는?,고구려,백제,신라,가야,북쪽에 있던 나라야,통일
발해가 아주 커져서 이웃 나라가 부른 이름은?,해동성국,동방예의지국,조선,금관가야,바다 동쪽의 크게 번성한 나라라는 뜻이야,통일
"경주에 있는, 부처의 나라를 땅 위에 옮겨 지었다는 절은?",불국사,,,,다보탑과 석가탑이 있어,문화재
"산속 바위를 파서 만든, 부처가 앉아 있는 굴은?",석굴암,,,,동해를 바라보고 있어,문화재
"불국사에 있는, 모양이 단순하고 균형이 아름다운 탑은?",석가탑,,,,무영탑이라고도 해,문화재
"불국사에 있는, 꾸밈이 화려하고 복잡한 탑은?",다보탑,,,,십 원짜리 동전에 있어,문화재
"석가탑 안에서 나온, 가장 오래된 목판 인쇄물은?",무구정광대다라니경,,,,나무판에 새겨 찍었어,문화재
신라 왕과 귀족들이 배를 띄우고 놀던 연못은?,안압지,,,,경주에 있는 연못이야,문화재
장보고가 완도에 세워 바닷길을 지킨 곳은?,청해진,국자감,태학,화랑도,푸른 바다의 진이라는 뜻이야,나라 살림
통일 신라가 넓어진 땅을 다스리려고 나눈 아홉 개의 큰 지역은?,9주,5소경,8도,3한,아홉 개로 나눴어,나라 살림
발해의 도읍 가운데 가장 오래 쓰인 곳은?,상경,평양,금성,한양,윗쪽 서울이라는 뜻이야,나라 살림
신라 말에 지방에서 힘을 키운 세력을 뭐라고 할까?,호족,화랑,군장,양반,스스로 성을 쌓고 다스렸어,나라 살림
